name,type,date,time,place,price,send_date,views
День Дикого Дому,фестиваль,2023/04/22,-,"Дикий Дім, вул. Староєврейська 22",донат,2023-04-11 16:10:05+00:00,665
Drum&Bass Overdose,вечірка,2023/04/15,17:00-,"Дикий Дім, вул. Староєврейська 22",200 грн,2023-04-10 20:22:16+00:00,670
Night Ambassadors After Paska,вечірка,2023/04/17,-,"Львівська Дитяча Залізниця, Стрийський парк",450 грн,2023-04-10 14:42:47+00:00,691
Вечірка Khvylia,вечірка,2023/04/15,16:00-,"Порохова вежа, вул. Підвальна 4",250-450 грн,2023-04-09 18:00:04+00:00,683
Виставка «Сюжети»,виставка,2023/03/30,-,"Я Галарея, вул. Шота Руставелі 8",50 грн,2023-04-09 14:57:06+00:00,687
Вечірка House music | Дикий Дім,вечірка,2023/04/08,17:00-20:00,"Дикий Дім, вул. Староєврейська 22",0 грн,2023-04-08 14:43:24+00:00,694
Відкриття фотовиставки «Нас не зламати»,виставка,2023/04/08,16:00-,"Дзиґа, вул. Вірменська 35",0 грн,2023-04-08 12:04:59+00:00,690
Рік укритті МС Брехунець Bedroom Talks,концерт,2023/04/08,19:00-,"Нижній Зал, пл. Галицького 1",300-400 грн,2023-04-07 20:04:28+00:00,664
Концерт експериментальної музики «Шумоізоляція»,концерт,2023/04/07,17:00-,"Червоний корпус, вул. Жовківська 14",250 грн,2023-04-06 23:22:56+00:00,718
Вечірка Techno Girls Club,вечірка,2023/04/08,-,"Клуб151, вул. Яблонської 31",400-500 грн,2023-04-06 18:00:07+00:00,694
Авангардні діалоги МС6 в Мистецькому Центрі,лекція,2023/04/06,18:30-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-04-05 15:11:21+00:00,687
Концерт Хаммерман Знищує Віруси,концерт,2023/04/08,18:00-,"Порохова вежа, вул. Підвальна 4",350 грн,2023-04-04 22:45:56+00:00,849
Фестиваль Kontrabass X 4.5.0,фестиваль,2023/05/06,-,"!FESTrepublic, вул. Старознесенська 24",500-700 грн,2023-04-04 16:29:28+00:00,721
Porichka Music Open Mic,концерт,2023/04/05,-,"Нижній Зал, пл. Галицького 1",донат,2023-04-03 20:45:16+00:00,715
Концерт Latexfauna,концерт,2023/04/28,-,"!FESTrepublic, вул. Старознесенська 24",650 грн,2023-04-03 14:43:06+00:00,718
День народження КБН,вечірка,2023/04/03,-,"Порохова вежа, вул. Підвальна 4",0 грн,2023-04-02 19:56:38+00:00,699
Концерт Один в каное,концерт,2023/04/26,-,"!FESTrepublic, вул. Старознесенська 24",290-1090 грн,2023-04-02 13:31:58+00:00,686
Мистецька вечірка «Львівський плацкарт»,вечірка,2023/04/01,17:00-,"Драбина студія, вул. Зелена 20",200 грн,2023-04-01 14:10:02+00:00,675
Презентація другого випуску журналу Solomiya,презентація,2023/04/02,16:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-03-31 23:37:25+00:00,660
Рік в укритті МС Брехунець Bedroom Talks,концерт,2023/04/08,-,"Нижній Зал, пл. Галицького 1",300-400 грн,2023-03-31 16:08:26+00:00,1158
Благодійний концерт ZWYNTAR,концерт,2023/03/31,-,"!FESTrepublic, вул. Старознесенська 24",490-690 грн,2023-03-30 13:11:23+00:00,657
Відкриття виставки «Обриси / Looming»,виставка,2023/03/31,18:00-,"Дзиґа, вул. Вірменська 35",0 грн,2023-03-29 19:11:58+00:00,632
Поетичний батл у Довгих Бурхливих Оплесках,літвечір,2023/03/29,-,"Довгі бурхливі оплески, вул. Січових стрільців 3",100-150 грн,2023-03-28 21:32:09+00:00,648
Відкриття виставки «Памфірова Маланка. Кінолабораторія»,кіно,2023/03/28,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-03-28 13:36:29+00:00,719
Лекція «Як експортувати свою музику за кордон»,лекція,2023/03/29,19:30-,"Пункт Пластичності, вул. Дорошенка 50",донат,2023-03-27 22:43:27+00:00,649
Виставка «ВОНА»,виставка,2023/03/24,-,"Intellias Art Point, вул. Панаса Мирного 24",0 грн,2023-03-27 12:00:05+00:00,671
Благодійний концерт музиканта Степана Горбика,концерт,2023/03/27,19:37-,"Довгі Бурхливі Оплески, вул. Січових стрільців 3",донат,2023-03-26 19:09:57+00:00,897
Вечірка-презентація «Shaman Tricks»,презентація,2023/04/08,17:00-,"Promiselove, вул. Промислова 21",300-400 грн,2023-03-26 13:09:01+00:00,703
Квартирник «Перші кроки автора»,вечірка,2023/03/26,16:30-,"Перша Львівська Медіатека, вул. Мулярська 2А",0 грн,2023-03-25 21:45:09+00:00,667
Вечірка Overdose,вечірка,2023/03/25,20:00-07:00,"Клуб151, вул. Яблонської 31",400 грн,2023-03-25 15:23:00+00:00,734
Двір презентує «Хіп-хоп у галареї»,вечірка,2023/03/25,19:00-,"Дзиґа, вул. Вірменська 35",200-300 грн,2023-03-24 22:58:25+00:00,662
Pop-up виставка Ірини Максимової «Частинки»,виставка,2023/03/24,19:00-,"Світло, вул. Валова 19",донат,2023-03-24 15:13:13+00:00,662
Благодійна вечірка DarkRed x Resistance,вечірка,2023/03/25,22:00-,"Катана, вул. Городоцька 2",донат,2023-03-23 22:30:29+00:00,664
Відкриття арт-простору ВВЕРХ-вниз,виставка,2023/03/25,19:00-,"Червоний корпус, вул.Жовківська 14",100 грн,2023-03-23 14:40:19+00:00,673
Tecktonik,вечірка,2023/03/25,22:00-,"Червоний корпус, вул.Жовківська 14",300-400 грн,2023-03-22 21:04:27+00:00,656
Концерт «Хіти української естради ХХ ст.»,концерт,2023/03/24,-,"Драбина студія, вул. Зелена 20",300 грн,2023-03-22 17:29:51+00:00,668
Благодійний концерт ZWYNTAR,концерт,2023/03/31,-,"!FESTrepublic, вул. Старознесенська 24",490-690 грн,2023-03-21 20:35:46+00:00,829
Паліндром,концерт,2023/03/23,-20:00,"Правда, Площа Ринок 32",600 грн,2023-03-20 21:01:29+00:00,781
Стус: Перехожий,-,2023/03/22,-,"Львівський театр ляльок, пл. Галицького 1",450-600 грн,2023-03-20 17:30:42+00:00,699
Увага: СВІТЛО!,виставка,2023/03/20,18:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-03-19 19:00:03+00:00,705
Вечірка Collab Promo,вечірка,2023/03/19,18:00-,"Завод, Червоний корпус, 3 поверх, Collab place",донат,2023-03-19 16:40:01+00:00,692
Проєкт «Травма» Олени Каїнської,виставка,2023/03/17-2023/04/12,11:00-20:00,"Палац Хоткевича, вул. Кушевича 1",0 грн,2023-03-19 00:31:22+00:00,827
Вечірка Метроплекс,вечірка,2023/03/31,18:00-,secret place,400-500 грн,2023-03-18 18:54:37+00:00,706
День Дикого Дому,фестиваль,2023/03/18,13:00-,"Дикий Дім, вул. Староєврейська 22",донат,2023-03-17 23:57:14+00:00,702
Попередження,вечірка,2023/03/18,18:00-,"Underground, вул.Жовківська 14",200 грн,2023-03-17 00:41:15+00:00,1093
Публічне інтерв‘ю з Ницо Потворно,концерт,2023/03/18,-13:00,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-03-16 19:15:52+00:00,741
Двір презентує «Хіп-хоп у галареї»,концерт,2023/03/25,20:00-,"Дзиґа, вул. Вірменська 35",200-300 грн,2023-03-15 22:59:33+00:00,669
Перегляд документального фільму «Тіло в лісі»,кіно,2023/03/16,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-03-15 15:20:58+00:00,672
"Показ документального фільму ""Культура в тилу""",кіно,2023/03/25,-,"Дзиґа, вул. Вірменська 35",0 грн,2023-03-14 23:53:56+00:00,670
Лекція «Як подаватаси на гранти»,гра,2023/03/15,-,"Пункт Пластичності, вул. Дорошенка 50",донат,2023-03-14 17:04:32+00:00,749
Вечірка Solid,вечірка,2023/03/18,22:00-,"Promiselove, вул. Промислова 21",400-500 грн,2023-03-13 22:24:36+00:00,681
Вечірка Overdose,вечірка,2023/03/25,20:00-,"Клуб151, вул. Яблонської 31",350-400 грн,2023-03-13 16:08:14+00:00,723
Відкриття виставки колажу «Генезис Буття»,виставка,2023/03/15,-,"Порохова вежа, вул. Підвальна 4",100 грн,2023-03-12 23:26:18+00:00,704
Відкриття виставки «ШтучноЗроблений»,виставка,2023/03/12,-,"Світло, вул. Валова 19",0 грн,2023-03-12 18:18:37+00:00,699
Давайте напікапимо,благодійний захід,2023/03/12,-,"Порохова вежа, вул. Підвальна 4",донат,2023-03-11 22:23:26+00:00,654
Зін зустріч,-,2023/03/12,16:00-,"Berliner studio, вул. Вірменська 35",0 грн,2023-03-11 19:36:16+00:00,728
Overdose,вечірка,2023/03/11,-,"Дикий Дім, вул. Староєврейська 22",200 грн,2023-03-10 19:00:17+00:00,649
Blastic Alien Crew,вечірка,2023/03/11,17:00-,"Катана, вул. Городоцька 2",350 грн,2023-03-10 15:01:22+00:00,638
День Дикого Дому,фестиваль,2023/03/18,-,"Дикий Дім, вул. Староєврейська 22",донат,2023-03-09 22:23:19+00:00,1058
"Відкриття виставки «Мій дім на сході, де встає криваве сонце»",виставка,2023/03/12,16:00-22:00,"31 Art space, вул. Яблонської 31",0 грн,2023-03-09 17:00:22+00:00,720
Кінопоказ «Обличчя села»,кіно,2023/03/11,-18:00,"Berliner Strasse, вул. Вірменська 35",0 грн,2023-03-08 23:17:52+00:00,701
Благодійна вечірка DarkRed x Resistance,вечірка,2023/03/25,-,"Катана, вул. Городоцька 2",300+ грн,2023-03-07 23:43:45+00:00,678
Нісенітниця х Селектра,вечірка,2023/03/08,21:30-,"Клуб151, вул. Яблонської 31",300-500 грн,2023-03-07 15:42:17+00:00,666
Відкриття виставки «Тактильні структури»,виставка,2023/03/08,18:00-,"Дзиґа, вул. Вірменська 35",0 грн,2023-03-06 21:28:03+00:00,684
Проникнення. Вечір поезій та сторітелінгу,вечірка,2023/03/07,-,"Довгі бурхливі оплески, вул. Січових стрільців 3",донат,2023-03-06 14:18:08+00:00,667
Ницо Потворно та Джозерс. Концерт на біс,концерт,2023/03/19,-,"Нижній Зал, пл. Галицького 1",450-500 грн,2023-03-05 23:23:50+00:00,700
Вечірка Overdose,вечірка,2023/03/11,-,"Дикий Дім, вул. Староєврейська 22",200 грн,2023-03-05 15:44:59+00:00,672
Моя квартира скинула шкіру: виставка історичних стінописів Львова,виставка,2023/03/06,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-03-04 22:05:46+00:00,698
Selllectra,вечірка,2023/03/04,23:00-,"Клуб151, вул. Яблонської 31",500-600 грн,2023-03-04 14:23:10+00:00,660
The Unsleeping,концерт,2023/03/04,-,"!FESTrepublic, вул. Старознесенська 24",700 грн,2023-03-03 19:35:20+00:00,631
День підвального мистецтва,концерт,2023/03/04,16:20-,"Underground, вул.Жовківська 14",200 грн,2023-03-03 16:44:08+00:00,1043
Вільний пульт в Дикому Домі,вечірка,2023/03/03,18:00-21:00,"Дикий Дім, вул. Староєврейська 22",0 грн,2023-03-03 00:43:05+00:00,640
Вечірка Bass sisters,вечірка,2023/03/04,-,"Promiselove, вул. Промислова 21",300-350 грн,2023-03-02 20:34:44+00:00,693
SVITLО & Kino,кіно,2023/03/03-2023/03/05,18:00-,"Світло, вул. Валова 19",донат,2023-03-02 16:31:20+00:00,709
Street Culture forum 2023,конференція,2023/03/04-2023/03/05,-,"Urban Camp Lviv & Pix Lab Lviv, вул. Ряшівська 2",0 грн,2023-03-02 00:20:38+00:00,645
Презентація зіну Погляд на Дві Тисячі Ярдів”,презентація,2023/03/02,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-03-01 19:12:16+00:00,635
Вечірка Blastic Alien Crew,вечірка,2023/03/11,17:00-,"Катана, вул. Городоцька 2",350 грн,2023-03-01 17:02:55+00:00,617
Презентація Bubblegum Zine,презентація,2023/03/02,16:00-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-02-28 19:00:16+00:00,622
День підвального мистецтва,концерт,2023/03/04,16:20-,"Underground, вул.Жовківська 14",200 грн,2023-02-28 16:33:14+00:00,772
Відкриття виставки «Пункт незламності»,виставка,2023/03/01-2023/03/02,-,вул. С. Крушельницької 1,0 грн,2023-02-27 21:58:03+00:00,658
Нісенітниця х Селектра,вечірка,2023/03/08,-,secret place,300-500 грн,2023-02-27 17:34:49+00:00,639
Selllectra,вечірка,2023/03/04,-,"Клуб151, вул. Яблонської 31",400-600 грн,2023-02-26 21:24:11+00:00,665
Вечірка 4vert,вечірка,2023/02/26,19:00-,"Кіберарени GP, вул. Городоцька 2",200 грн,2023-02-26 15:45:36+00:00,659
Концерт Пиріг і Батіг|Lemko bluegrass band,концерт,2023/02/26,-,"Нижній Зал, пл. Галицького 1",350-400 грн,2023-02-25 20:54:19+00:00,653
Декодінг кліпу Сіґеле-Міґеле від гурту Nazva,лекція,2023/02/25,18:30-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-02-25 15:55:23+00:00,629
Благодійний квартирник СУВІАТО | Дикий Дім,концерт,2023/02/25,19:00-,Дикий Дім,250 грн,2023-02-24 23:56:40+00:00,643
Концерт Пиріг і Батіг|Lemko bluegrass band,концерт,2023/02/26,20:00-,Нижній Зал,400 грн,2023-02-24 16:16:22+00:00,531
Відкриття виставки «Щоденник 2022-2023»,виставка,2023/02/25,18:00-,"Detenpyla Gallery, вул. Гузара 7",0 грн,2023-02-24 15:43:45+00:00,609
виставка плакатів «Лють до ворога - любов до своїх»,виставка,2023/02/25,16:00-,"Дзиґа, вул. Вірменська 35",0 грн,2023-02-23 19:51:50+00:00,596
Відкриття виставки «Розлам Харків»,виставка,2023/02/28,19:00-,"Дзиґа, вул. Вірменська 35",0 грн,2023-02-22 18:55:34+00:00,639
Opera Avangard stage band,концерт,2023/02/26,19:00-,"Дзиґа, вул. Вірменська 35",200 грн,2023-02-21 22:21:35+00:00,644
Концерт Пиріг і Батіг|Lemko bluegrass band,концерт,2023/02/26,-,"Нижній Зал, пл. Галицького 1",300-400 грн,2023-02-21 17:57:03+00:00,651
Благодійний квартирник СУВІАТО,вечірка,2023/02/25,17:00-,"Дикий Дім, вул. Староєврейська 22",200-250 грн,2023-02-21 00:19:27+00:00,674
Porichka Music Open Mic,концерт,2023/02/22,19:30-,"Нижній Зал, пл. Галицького 1",донат,2023-02-20 16:54:17+00:00,670
виставка «Шахи»,виставка,2023/02/19,19:00-,"31 Art space, вул. Яблонської 31",донат,2023-02-19 17:36:27+00:00,690
концерт Lisovyk/Bedzvin,концерт,2023/02/19,-,"Нижній Зал, пл. Галицького 1",300-350 грн,2023-02-19 14:07:29+00:00,634
Atomic Simao & Junket,концерт,2023/02/19,18:00-,"Promiselove, вул. Промислова 21",400-500 грн,2023-02-18 21:23:41+00:00,656
Overdose,вечірка,2023/02/18,17:00-,"Дикий Дім, вул. Староєврейська 22",200 грн,2023-02-18 14:23:42+00:00,656
Дике поле. Донбас,виставка,2023/02/19,18:00-22:00,"Котляревського 37, 2 поверх, двері ліворуч",0 грн,2023-02-17 23:23:53+00:00,800
Благодійний ярмарок бізнес-школи УКУ,фестиваль,2023/02/19,-,"Центр Шептицького, вул. Стрийська 29",донат,2023-02-17 19:41:34+00:00,668
Sunday BazaarR x Vinil Club,фестиваль,2023/02/19,13:00-,пл. Міцкевича 10,донат,2023-02-17 13:55:16+00:00,677
Літери в місті презентують постери із цитатами лідерів думок України,виставка,2023/02/18-...,-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-02-16 22:11:30+00:00,651
Концерт Eskadron gigs 2023 vol.2,концерт,2023/02/18,17:30-,"Нижній Зал, пл. Галицького 1",300 грн,2023-02-16 15:14:57+00:00,635
"Показ документального фільму ""Культура в тилу""",кіно,2023/02/16,-,"Палац Хоткевича, вул. Кушевича 1",0 грн,2023-02-15 22:37:32+00:00,674
Івент Кепсько,вечірка,2023/02/17,-,вул. Яблонської 31,250 грн,2023-02-15 17:36:56+00:00,1144
Виставка «Майже весна»,виставка,2023/02/14,-,"Зелена канапа, вул. Вірменська 7",0 грн,2023-02-15 14:08:21+00:00,676
Overdose,вечірка,2023/02/18,17:00-,"Дикий Дім, вул. Староєврейська 22",200 грн,2023-02-14 23:51:52+00:00,694
Акустичний концерт Promsonya,концерт,2023/02/17,18:30-,"Мистецький Центр, вул. Стефаника 11",донат,2023-02-13 20:02:40+00:00,684
Printostan - презентація зіну і підсумки резиденції,презентація,2023/02/16,18:30-,"Мистецький Центр, вул. Стефаника 11",0 грн,2023-02-13 16:02:19+00:00,955
"Лекція про ""Музичну журналістику""",лекція,2023/02/15,-,"Пункт Пластичності, вул. Дорошенка 50",донат,2023-02-12 21:55:08+00:00,717
Концерт Lisovyk/Bedzvin,концерт,2023/02/19,-19:00,"Нижній Зал, пл. Галицького 1",300-350 грн,2023-02-12 16:04:14+00:00,653
Акустична програма «Love is»,гра,2023/02/14,-,"Дзиґа, вул. Вірменська 35",200-250 грн,2023-02-11 19:40:09+00:00,663
Кінопоказ Pure Love | Shorts by Wiz-Art,кіно,2023/02/14,18:30-,"American house, вул. Гнатюка 2",0 грн,2023-02-11 16:16:02+00:00,770
Sad Novelist,концерт,2023/02/11,-,"Клуб151, вул. Яблонської 31",400-500 грн,2023-02-10 22:23:14+00:00,723
Штурм,вечірка,2023/02/11,-,"Порохова вежа, вул. Підвальна 4",500 грн,2023-02-10 16:25:14+00:00,709
Виступ Новий твій & Петро Петровський,виставка,2023/02/10,-,Пункт Пластичності,100 грн,2023-02-09 21:43:26+00:00,744
DVIR презентує хіп-хоп вечірку,вечірка,2023/02/11,19:00-,"Дзиґа, вул. Вірменська 35",200 грн,2023-02-09 15:58:35+00:00,774
Sneaker Garage Sale,вечірка,2023/02/11,18:00-,"Sneaker Mate, вул. Дудаєва 19",0 грн,2023-02-09 00:08:06+00:00,759
